CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Naples,Italy,29.38,129.00,15.00,21.00,5.00,6.00,12.00,1.00,4.00,8.00,15.00,16.00,76.00,47.00,71.64,111.00,55.00%,25.00
Shanghai,China,29.88,130.00,12.00,24.00,5.00,6.00,12.00,1.00,7.00,5.00,14.00,15.00,84.00,52.00,66.83,104.00,48.00%,32.00
Krakow,Poland,29.88,131.00,7.00,29.00,3.00,8.00,12.00,1.00,3.00,9.00,14.00,15.00,34.00,14.00,85.19,124.00,41.00%,39.00
Brussels,Belgium,30.25,132.00,10.00,26.00,4.00,7.00,12.00,1.00,3.00,9.00,16.00,17.00,70.00,44.00,63.00,97.00,39.00%,41.00
Nairobi,Kenya,30.75,133.00,26.00,10.00,8.00,3.00,12.00,1.00,11.00,1.00,13.00,14.00,93.00,57.00,68.99,109.00,29.00%,51.00
Milan,Italy,31.00,134.00,13.00,23.00,5.00,6.00,12.00,1.00,3.00,9.00,13.00,14.00,88.00,53.00,77.20,116.00,54.00%,26.00
Sarajevo,Bosnia and Herzegovina,31.50,135.00,8.00,28.00,4.00,7.00,12.00,1.00,4.00,8.00,14.00,15.00,69.00,43.00,73.83,113.00,43.00%,37.00
Nadi,Fiji,32.13,136.00,30.00,6.00,5.00,6.00,12.00,1.00,11.00,1.00,22.00,22.00,356.00,88.00,50.00,78.00,23.00%,55.00
Ubud,Indonesia,33.38,137.00,31.00,5.00,8.00,3.00,12.00,1.00,11.00,1.00,17.00,18.00,225.00,83.00,63.54,99.00,19.00%,57.00
Chamonix,France,33.50,138.00,-4.00,37.00,5.00,6.00,12.00,1.00,4.00,8.00,17.00,18.00,120.00,69.00,61.96,94.00,45.00%,35.00
Bali,Indonesia,34.50,139.00,31.00,5.00,8.00,3.00,12.00,1.00,11.00,1.00,17.00,18.00,225.00,83.00,67.50,107.00,17.00%,58.00
Jakarta,Indonesia,36.00,140.00,32.00,4.00,7.00,4.00,12.00,1.00,11.00,1.00,16.00,17.00,245.00,85.00,78.62,117.00,15.00%,59.00
